continent,location,date,population,highest_infection_count,per_pop_infected
Europe,Andorra,2021-03-23,77265,11591,15.001617808839708
Europe,Czechia,2021-04-20,10708982,1606030,14.997037066641816
Europe,Montenegro,2021-10-04,628062,94035,14.972247962780743
Europe,Czechia,2021-04-19,10708982,1602711,14.966044391521061
Europe,Czechia,2021-04-18,10708982,1601881,14.958293888251935
Europe,Czechia,2021-04-17,10708982,1600341,14.9439134364032
Europe,Andorra,2021-03-22,77265,11545,14.942082443538471
Europe,Montenegro,2021-09-04,628062,93803,14.935308934468253
Europe,Czechia,2021-04-16,10708982,1597103,14.913677135697863
Europe,Andorra,2021-03-21,77265,11517,14.905843525529022
Europe,Montenegro,2021-08-04,628062,93566,14.897573806407646
Europe,Czechia,2021-04-15,10708982,1593847,14.883272751789105
Europe,Andorra,2021-03-20,77265,11481,14.859250630945448
Europe,Montenegro,2021-07-04,628062,93309,14.856654279354586
Europe,Czechia,2021-04-14,10708982,1590124,14.848507542546995
Europe,Montenegro,2021-06-04,628062,93030,14.812231913409823
Europe,Czechia,2021-04-13,10708982,1585037,14.80100536166743
Europe,Andorra,2021-03-19,77265,11431,14.794538277357146
Europe,Montenegro,2021-05-04,628062,92740,14.766058128019207
Europe,Czechia,2021-12-04,10708982,1581184,14.765026218178349
Europe,Czechia,2021-11-04,10708982,1580189,14.755734952211144
Europe,Andorra,2021-03-18,77265,11393,14.74535688863004
Europe,Czechia,2021-10-04,10708982,1577972,14.735032704322409
Europe,Montenegro,2021-04-04,628062,92519,14.730870519152568
Europe,Andorra,2021-03-17,77265,11360,14.702646735261762
Europe,Czechia,2021-09-04,10708982,1573153,14.690033095582756
Europe,Montenegro,2021-03-04,628062,92222,14.683582194114594
Europe,Andorra,2021-03-16,77265,11319,14.649582605319356
Europe,Czechia,2021-08-04,10708982,1567848,14.640495240350576
Europe,Montenegro,2021-02-04,628062,91906,14.633268690033788
Europe,Andorra,2021-03-15,77265,11289,14.610755193166375
Europe,Andorra,2021-03-14,77265,11266,14.580987510515758
Europe,Montenegro,2021-01-04,628062,91573,14.58024844680939
Europe,Czechia,2021-07-04,10708982,1560777,14.574466555271078
Europe,Andorra,2021-03-13,77265,11228,14.531806121788648
Europe,Montenegro,2021-03-31,628062,91218,14.523725364693293
Europe,Czechia,2021-06-04,10708982,1555245,14.522808984084575
Europe,Czechia,2021-05-04,10708982,1553820,14.50950239714662
Europe,Andorra,2021-12-03,77265,11199,14.494272956707436
Europe,Czechia,2021-04-04,10708982,1551896,14.491536170291445
Europe,Czechia,2021-03-04,10708982,1549734,14.471347509968735
Europe,Montenegro,2021-03-30,628062,90832,14.46226646413889
Europe,Czechia,2021-02-04,10708982,1545865,14.435218959187718
Europe,Andorra,2021-11-03,77265,11130,14.404969908755582
Europe,Andorra,2021-10-03,77265,11130,14.404969908755582
Europe,Montenegro,2021-03-29,628062,90418,14.396349404995048
